map_date,island,site,tag_num,species,multitrunk,dbh,leaning,dbh_canopy_meas,canopy_N-S,canopy_E-W,crown_meas_dt,who,total_dbh_multisum,total_dbh_multiavg,total_dbh_multilgst,canopy_radius,change in dbh
11/9/09,saipan,ladt,7668,leucaena,yes,152 + 135,n,155+134,4.1,2.08,19-May-11,MC_JD,289,144.5,155,1.545,#VALUE!
17-Nov-10,saipan,mtr1,8071,leucaena,yes,157+80,n,168+86,6.91,5.1,19-May-11,MC_JD,254,127,168,3.0025,#VALUE!
11/3/09,saipan,ladt,7340,cyno,yes,168 + 194 + 53 + 95 + 99 + 95 + 47 + 95,n,169+98+192+80+59+100+103,3.67,5.08,19-May-11,MC_JD,801,114.4285714,192,2.1875,#VALUE!
25-Nov-09,saipan,mtr1,8588,neiso,yes,152+162,n,170+64,5.01,5.87,19-May-11,MC_JD,234,117,170,2.72,#VALUE!
25-Nov-09,saipan,mtr1,8574,morinda,yes,161+139+84,n,172+167+81,4.95,5.57,19-May-11,MC_JD,420,140,172,2.63,#VALUE!
25-Nov-09,saipan,mtr1,8594,eugenia,yes,30+14+1<10,n,18+22+11,2.51,1.9,19-May-11,MC_JD,51,17,22,1.1025,#VALUE!
2-Nov-09,saipan,ladt,7279,neiso,yes,250 + 142 + 208,n,208+146+246,5.76,5.74,19-May-11,MC_JD,600,200,246,2.875,#VALUE!
19-Oct-09,saipan,forbs,1811,premna,yes,217 + 170 + 206,n,225+170+214,7.56,7.81,25-Apr-11,MC_JD,609,203,225,3.8425,#VALUE!
9-Sep-09,saipan,forbs,2246,cyno,yes,124(S)+240(E)+79(W)+194(N),n,242+133+227+71,5.97,7.45,29-Apr-11,MC_JD,673,168.25,242,3.355,#VALUE!
6-Oct,guam,nblas,3797,maytenus,yes,28,n,27+<10,1.86,2.17,15-Jul-11,jd-ap-mg,34,17,27,1.0075,#VALUE!
15-Oct,guam,anao,1409,triphasia,yes,24+31+14+9+13,n,30+24+14+10+15,1.78,2.32,14-Jul-11,jonnie-annette,93,18.6,30,1.025,#VALUE!
